coverage_scope,public_geography_id,bridge_municipality,population_municipality,population_value,population_match,coverage_status
bridge_safe_2025_geography,53044,Jurbise,Jurbise,10912,true,matched_population_source
bridge_safe_2025_geography,53046,Lens,Lens,4677,true,matched_population_source
bridge_safe_2025_geography,53053,Mons,Mons,97120,true,matched_population_source
bridge_safe_2025_geography,53065,Quaregnon,Quaregnon,19022,true,matched_population_source
bridge_safe_2025_geography,53068,Quievrain,Quiévrain,6861,true,matched_population_source
bridge_safe_2025_geography,53070,Saint-Ghislain,Saint-Ghislain,23756,true,matched_population_source
bridge_safe_2025_geography,53082,Colfontaine,Colfontaine,20813,true,matched_population_source
bridge_safe_2025_geography,53083,Honnelles,Honnelles,5104,true,matched_population_source
bridge_safe_2025_geography,53084,Quevy,Quévy,8194,true,matched_population_source
bridge_safe_2025_geography,55004,Braine-le-Comte,Braine-le-Comte,23604,true,matched_population_source
bridge_safe_2025_geography,55035,Le Roeulx,Le Roeulx,8709,true,matched_population_source
bridge_safe_2025_geography,55040,Soignies,Soignies,29249,true,matched_population_source
bridge_safe_2025_geography,55050,Ecaussinnes,Ecaussinnes,11622,true,matched_population_source
bridge_safe_2025_geography,55085,Seneffe,Seneffe,11631,true,matched_population_source
bridge_safe_2025_geography,55086,Manage,Manage,24202,true,matched_population_source
bridge_safe_2025_geography,56001,Anderlues,Anderlues,12955,true,matched_population_source
