factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,37021,Wingene,Wingene,209.5705,true,matched_factor_source
population_density,bridge_safe_2025_geography,37022,Tielt,Tielt,324.464,true,matched_factor_source
population_density,bridge_safe_2025_geography,38002,Alveringem,Alveringem,61.5301,true,matched_factor_source
population_density,bridge_safe_2025_geography,38008,De Panne,La Panne,407.9713,true,matched_factor_source
population_density,bridge_safe_2025_geography,38014,Koksijde,Koksijde,426.0705,true,matched_factor_source
population_density,bridge_safe_2025_geography,38016,Nieuwpoort,Nieuport,342.8631,true,matched_factor_source
population_density,bridge_safe_2025_geography,38025,Veurne,Furnes,129.2489,true,matched_factor_source
population_density,bridge_safe_2025_geography,41002,Aalst,Alost,1171.3187,true,matched_factor_source
population_density,bridge_safe_2025_geography,41011,Denderleeuw,Denderleeuw,1533.1585,true,matched_factor_source
population_density,bridge_safe_2025_geography,41018,Geraardsbergen,Grammont,440.1485,true,matched_factor_source
population_density,bridge_safe_2025_geography,41024,Haaltert,Haaltert,639.5026,true,matched_factor_source
population_density,bridge_safe_2025_geography,41027,Herzele,Herzele,400.3559,true,matched_factor_source
population_density,bridge_safe_2025_geography,41034,Lede,Lede,649.8511,true,matched_factor_source
population_density,bridge_safe_2025_geography,41048,Ninove,Ninove,554.9872,true,matched_factor_source
population_density,bridge_safe_2025_geography,41063,Sint-Lievens-Houtem,Sint-Lievens-Houtem,397.2981,true,matched_factor_source
population_density,bridge_safe_2025_geography,41081,Zottegem,Zottegem,491.3898,true,matched_factor_source
population_density,bridge_safe_2025_geography,41082,Erpe-Mere,Erpe-Mere,613.6396,true,matched_factor_source
population_density,bridge_safe_2025_geography,42003,Berlare,Berlare,403.52,true,matched_factor_source
population_density,bridge_safe_2025_geography,42004,Buggenhout,Buggenhout,588.06,true,matched_factor_source
population_density,bridge_safe_2025_geography,42006,Dendermonde,Termonde,841.6031,true,matched_factor_source
population_density,bridge_safe_2025_geography,42008,Hamme,Hamme,634.1933,true,matched_factor_source
population_density,bridge_safe_2025_geography,42010,Laarne,Laarne,383.5407,true,matched_factor_source
population_density,bridge_safe_2025_geography,42011,Lebbeke,Lebbeke,742.4433,true,matched_factor_source
